 by Role ,prema ulozi
Print,otisak
Print...,Ispis ...
Priority,Prioritet
Query Report,Izvješće upita
Quotation Series,Ponuda Serija
Refresh,Osvježiti
Reload Page,Osvježi stranicu
Remove Bookmark,Uklonite Bookmark
Rename...,Promjena naziva ...
Report,Prijavi
Report was not saved (there were errors),Izvješće nije spašen (bilo pogrešaka)
Save,spasiti
Search,Traži
Select All,Odaberite sve
Select Attachments,Odaberite privitke
Select Print Format,Odaberite Print Format
Select Report Name,Odaberite Naziv izvješća
Select To Download:,Odaberete preuzimanje :
Select Type,Odaberite Vid
Select dates to create a new ,Odaberite datume za stvaranje nove
Select or drag across time slots to create a new event.,Odaberite ili povucite preko minutaže stvoriti novi događaj.
Send,Poslati
Send As Email,Pošalji kao e-mail
Send Me A Copy,Pošaljite mi kopiju
Sent or Received,Poslana ili primljena
Serial No,Serijski br
Session Expired. Logging you out,Sjednica je istekao. Odjavljivanje
Set Link,Postavite link
Shipping Rule,Dostava Pravilo
Shopping Cart,Košarica
Shopping Cart Price List,Košarica Cjenik
Shopping Cart Price Lists,Košarica cjenike
Shopping Cart Settings,Košarica Postavke
Shopping Cart Shipping Rule,Košarica Dostava Pravilo
Shopping Cart Shipping Rules,Košarica Dostava Pravila
Shopping Cart Taxes and Charges Master,Košarica poreze i troškove Master
Shopping Cart Taxes and Charges Masters,Košarica Porezi i naknade Masters
Shortcut,Prečac
Show Details,Prikaži pojedinosti
Show Tags,Pokaži Oznake
Show rows with zero values,Prikaži retke s nula vrijednosti
Showing only for (if not empty),Prikaz samo za ( ako ne i prazna )
Sorry we were unable to find what you were looking for.,Nažalost nismo uspjeli pronaći ono što su tražili.
Sorry you are not permitted to view this page.,Žao nam je što nije dozvoljeno da vidite ovu stranicu.
Sort By,Sortiraj po
Start Report For,Početak izvješće za
Subject,Predmet
Submit,Podnijeti
Submitted,Prijavljen
Switch to Website,Prebacite se na web stranici
Tags,Oznake
Tax Master,Porezna Master
Test Runner,Test Runner
Then By (optional),Zatim Do (opcionalno)
There were errors,Bilo je grešaka
There were errors while sending email. Please try again.,Bilo je grešaka tijekom slanja e-pošte. Molimo pokušajte ponovno .
This is PERMANENT action and you cannot undo. Continue?,"To je stalna akcija, a ne možete poništiti. Nastaviti?"
This is permanent action and you cannot undo. Continue?,"To je stalna akcija, a ne možete poništiti. Nastaviti?"
To,Na
To Pay,platiti
"To report an issue, go to ",
"To run a test add the module name in the route after '{0}'. For example, {1}","Za pokretanjetesta dodati ime modula u pravac nakon ' {0} ' . Na primjer , {1}"
Unable to load: {0},Nije moguće opterećenje : {0}
Unknown Column: {0},Nepoznato Stupac : {0}
Unknown Print Format: {0},Nepoznato Print Format : {0}
Unread Messages,Nepročitane poruke
Update,Ažurirati
Updated,Obnovljeno
Upload,Pošalji
Upload Attachment,Prenesi Prilog
Upload a file,Prenesi datoteku
Uploading...,Prijenos ...
User Permission Restrictions,Dozvole korisnika Ograničenja
User Restrictions,Korisničke Ograničenja
With Groups,s Groups
With Ledgers,s knjigama
Workflow will start after saving.,Workflow će početi nakon štednje.
Yes,Da
Yesterday,Jučer
You are not allowed to create / edit reports,Ne smiju stvoriti / uređivati ​​izvješća
You are not allowed to create {0},Ne smiju se stvarati {0}
You are not allowed to export this report,Ne smiju se izvoziti ovom izvješću
You are not allowed to print this document,Ne smiju se ispisati taj dokument
You are not allowed to reply to this ticket.,Vi ne smijete odgovoriti na ovu kartu.
You are not allowed to send emails related to this document,Ne smiju slati e-mailove u vezi s ovim dokumentom
You need to enable Shopping Cart,Morate omogućiti Košarica
"Your download is being built, this may take a few moments...","Vaš preuzimanje se gradi, to može potrajati nekoliko trenutaka ..."
and,i
comment,komentirati
comments,komentari
found,nađen
is not allowed.,nije dopušteno.
or,ili
to,na
values and dates,Vrijednosti i datumi
{0} cannot be purchased using Shopping Cart,{0} ne može se kupiti pomoću Košarica
{0} is required,{0} je potrebno
{0} {1} has a common territory {2},{0} {1} ima zajednički teritorij {2}
